source,gender,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90歳以上,95-99,100+
AsiaPaciﬁcHighIncome,male,0.00001089082204431060 ,0.00001962514955270860 ,0.00003536407036114650 ,0.00006372444110181100 ,0.00011482592341018400 ,0.00020689788940359200 ,0.00037276927498915200 ,0.00067153151196432800 ,0.00120945208530282000 ,0.00217732730180010000 ,0.00391671624098632000 ,0.00703584293061542000 ,0.0140000000000000 ,0.0230000000000000 ,0.0380000000000000 ,0.0640000000000000 ,0.1090000000000000 ,0.1800000000000000 ,0.3490000000000000 ,0.44066207935857400000 ,0.58672056872074700000 
AsiaPaciﬁcHighIncome,female,0.00000096523604373331 ,0.00000204179096212128 ,0.00000431905268603142 ,0.00000913617949691251 ,0.00001932584143214150 ,0.00004087965901337620 ,0.00008647004349114970 ,0.00018289507402797100 ,0.00038680460903703500 ,0.00081786671393942300 ,0.00172848162832914000 ,0.00364927458465243000 ,0.0090000000000000 ,0.0170000000000000 ,0.0310000000000000 ,0.0600000000000000 ,0.1170000000000000 ,0.2170000000000000 ,0.4920000000000000 ,0.59486575346019000000 ,0.75645260101903900000 
EastAsia,male,0.00000296142890743673 ,0.00000564913619518707 ,0.00001077610265345590 ,0.00002055603618871030 ,0.00003921147439624930 ,0.00007479621453753040 ,0.00014266979574684600 ,0.00027211827563444800 ,0.00051895818712533100 ,0.00098948625779041600 ,0.00188582692412883000 ,0.00359121213327168000 ,0.0080000000000000 ,0.0130000000000000 ,0.0220000000000000 ,0.0400000000000000 ,0.0730000000000000 ,0.1670000000000000 ,0.2640000000000000 ,0.38722301683884900000 ,0.54657289968632800000 
EastAsia,female,0.00000210200335263483 ,0.00000417737730881983 ,0.00000830181617022712 ,0.00001649835913170680 ,0.00003278724145218190 ,0.00006515714109404790 ,0.00012948077275705200 ,0.00025728885004283300 ,0.00051118941936509500 ,0.00101539241907436000 ,0.00201590443580939000 ,0.00399832038731791000 ,0.0090000000000000 ,0.0160000000000000 ,0.0290000000000000 ,0.0530000000000000 ,0.1000000000000000 ,0.1790000000000000 ,0.3870000000000000 ,0.49412126634041800000 ,0.65999654059519600000 
SouthAsia,male,0.00000424725149110396 ,0.00000803693793677672 ,0.00001520798877133520 ,0.00002877730852634520 ,0.00005445318720628190 ,0.00010303540604170100 ,0.00019495341379417300 ,0.00036884133695259900 ,0.00069771966608632500 ,0.00131945613843044000 ,0.00249383800413678000 ,0.00470855023212445000 ,0.0100000000000000 ,0.0170000000000000 ,0.0290000000000000 ,0.0530000000000000 ,0.0940000000000000 ,0.1640000000000000 ,0.3370000000000000 ,0.43747487933325500000 ,0.59540695004670600000 
SouthAsia,female,0.00001205670306433160 ,0.00002160234098113920 ,0.00003870524193406010 ,0.00006934782990251710 ,0.00012424686175618700 ,0.00022259689662708600 ,0.00039876677805201000 ,0.00071426319505131400 ,0.00127905476220563000 ,0.00228942254376913000 ,0.00409464113612028000 ,0.00731284846481733000 ,0.0150000000000000 ,0.0230000000000000 ,0.0380000000000000 ,0.0650000000000000 ,0.1100000000000000 ,0.1810000000000000 ,0.3510000000000000 ,0.43899075327948300000 ,0.58368795252139300000 
SouthEastAsia,male,0.00004272015932300200 ,0.00007001083435546190 ,0.00011473345488127300 ,0.00018801932163784900 ,0.00030810203001250200 ,0.00050483949728520600 ,0.00082709904492337000 ,0.00135479110890066000 ,0.00221840505560267000 ,0.00363052985095996000 ,0.00593619425056586000 ,0.00969188877410177000 ,0.0170000000000000 ,0.0260000000000000 ,0.0400000000000000 ,0.0620000000000000 ,0.0980000000000000 ,0.1500000000000000 ,0.2640000000000000 ,0.33745064426159400000 ,0.45495510609637600000 
SouthEastAsia,female,0.00000476904484168492 ,0.00000934268000787801 ,0.00001830246721760590 ,0.00003585453291985120 ,0.00007023784699051950 ,0.00013758908798362100 ,0.00026950618969931900 ,0.00052783546013452700 ,0.00103352462312067000 ,0.00202270537838569000 ,0.00395487750345497000 ,0.00771846585599206000 ,0.0180000000000000 ,0.0300000000000000 ,0.0510000000000000 ,0.0900000000000000 ,0.1590000000000000 ,0.2720000000000000 ,0.5490000000000000 ,0.62790091550804900000 ,0.76775429742902900000 
WesternEurope,male,0.00001236578785036110 ,0.00002205649216810250 ,0.00003934121772740480 ,0.00007017028980941950 ,0.00012515501299641400 ,0.00022321558627187200 ,0.00039807729966854800 ,0.00070982421204363900 ,0.00126540092595019000 ,0.00225484421251520000 ,0.00401484368671442000 ,0.00713876672042530000 ,0.0140000000000000 ,0.0230000000000000 ,0.0370000000000000 ,0.0630000000000000 ,0.1060000000000000 ,0.1740000000000000 ,0.3340000000000000 ,0.42419242071002100000 ,0.56785298110659900000 
WesternEurope,female,0.00000883704444517943 ,0.00001653633603121050 ,0.00003094344231469120 ,0.00005790185938977000 ,0.00010834433171141000 ,0.00020272195907624000 ,0.00037927977753684500 ,0.00070949900467489700 ,0.00132684136480196000 ,0.00248000654751106000 ,0.00463074677710491000 ,0.00863053943855102000 ,0.0190000000000000 ,0.0300000000000000 ,0.0500000000000000 ,0.0860000000000000 ,0.1480000000000000 ,0.2470000000000000 ,0.4830000000000000 ,0.56688240636025200000 ,0.71007698609643200000 
NorthAmerica,male,0.00000345018255597951 ,0.00000675497517073034 ,0.00001322525529437250 ,0.00002589295877140560 ,0.00005069370413292790 ,0.00009924669542274620 ,0.00019429332836999000 ,0.00038032965330994400 ,0.00074436358330884900 ,0.00145632630146745000 ,0.00284732083579775000 ,0.00555951185943776000 ,0.0130000000000000 ,0.0210000000000000 ,0.0370000000000000 ,0.0680000000000000 ,0.1230000000000000 ,0.2160000000000000 ,0.4520000000000000 ,0.54690510071910500000 ,0.70266674641566400000 
NorthAmerica,female,0.00000096109609994224 ,0.00000204525982126118 ,0.00000435240827721946 ,0.00000926210367651964 ,0.00001971002808931360 ,0.00004194302313418040 ,0.00008925269221565390 ,0.00018991520843170900 ,0.00040406278833797100 ,0.00085947468857749900 ,0.00182723487515957000 ,0.00388045155049260000 ,0.0100000000000000 ,0.0180000000000000 ,0.0330000000000000 ,0.0640000000000000 ,0.1250000000000000 ,0.2320000000000000 ,0.5270000000000000 ,0.62098675179694500000 ,0.77711724810604700000 
LatinAmerica,male,0.00000091554576552469 ,0.00000196337404369486 ,0.00000421042088533339 ,0.00000902914984454068 ,0.00001936269544752440 ,0.00004152213083020410 ,0.00008903944342494910 ,0.00019092448344008800 ,0.00040934564906133300 ,0.00087742540586051100 ,0.00187973984205857000 ,0.00402242428391366000 ,0.010 ,0.019 ,0.037 ,0.070 ,0.130 ,0.243 ,0.550 ,0.64367790738191300000 ,0.79482583301935900000 
LatinAmerica,female,0.00000012479280989166 ,0.00000031215468514521 ,0.00000078081838314627 ,0.00000195312435621500 ,0.00000488549977693308 ,0.00001222042155840420 ,0.00003056740667613070 ,0.00007645731447846980 ,0.00019122715527505600 ,0.00047819526279090100 ,0.00119529183544642000 ,0.00298452791646782000 ,0.010 ,0.020 ,0.042 ,0.084 ,0.164 ,0.325 ,0.795 ,0.82104284405248300000 ,0.91984722276778900000 
Japan,male,0.00000746526707058787 ,0.00001418139852067080 ,0.00002693953839095510 ,0.00005117481169511510 ,0.00009721043531209510 ,0.00018465094591908500 ,0.00035071636019803500 ,0.00066603284179103600 ,0.00126448045272311000 ,0.00239935756545094000 ,0.00454815376651420000 ,0.00860475174139536000 ,0.0162205614417827 ,0.028 ,0.049 ,0.117 ,0.168 ,0.350 ,0.490 ,0.506 ,0.73658446633009500000 
Japan,female,0.00000043549181372413 ,0.00000101873064600614 ,0.00000238307882205816 ,0.00000557463772932434 ,0.00001304046374565880 ,0.00003050458212134820 ,0.00007135541995943190 ,0.00016690336559965000 ,0.00039034413361200300 ,0.00091264169626713500 ,0.00213230553556967000 ,0.00497382619382771000 ,0.0115581112634870 ,0.038 ,0.039 ,0.144 ,0.242 ,0.439 ,0.651 ,0.837 ,0.91293069992605800000 
MCIJapan,male,0.00007874908536599300 ,0.00013747746876368800 ,0.00023982891387140600 ,0.00041803078358517500 ,0.00072792486479684900 ,0.00126602313817139000 ,0.00219851037259175000 ,0.00380991906220587000 ,0.00658297339257770000 ,0.01132416676066860000 ,0.01934540414501860000 ,0.03268002418641680000 ,0.0542006024257294 ,0.090 ,0.133 ,0.171 ,0.277 ,0.186 ,0.246 ,0.267 ,0.13762062700874700000 
MCIJapan,female,0.00000111485007291697 ,0.00000254342589108808 ,0.00000580151979952283 ,0.00001323061467497310 ,0.00003016662075716370 ,0.00006876518570007120 ,0.00015670370715634900 ,0.00035694469841047600 ,0.00081246471060285900 ,0.00184670118403070000 ,0.00418511464400410000 ,0.00942345128152628000 ,0.0209152905682630 ,0.061 ,0.097 ,0.150 ,0.190 ,0.175 ,0.117 ,0.119 ,0.05012926451477860000 